posto,time_division,model_id,p,h,h_std,avg_cv_mse,total_aic
ITAIPU,dia,3,3,1,3,,97394.76878491035
ITAIPU,dia,3,3,1,4,,97397.92521670277
ITAIPU,dia,3,3,1,5,,97408.45219349193
ITAIPU,dia,3,3,2,1,,97377.90107212524
ITAIPU,dia,3,3,2,2,,97381.6396239381
ITAIPU,dia,3,3,2,3,,97393.59312945514
ITAIPU,dia,3,3,2,4,,97397.25885007229
ITAIPU,dia,3,3,2,5,,97406.58944710769
ITAIPU,dia,3,3,3,1,,97373.80793348521
ITAIPU,dia,3,3,3,2,,97377.85893979584
ITAIPU,dia,3,3,3,3,,97389.6519869738
ITAIPU,dia,3,3,3,4,,97393.34606579292
ITAIPU,dia,3,3,3,5,,97402.69735387822
ITAIPU,dia,3,3,4,1,,97377.67072188373
ITAIPU,dia,3,3,4,2,,97381.7369509677
ITAIPU,dia,3,3,4,3,,97393.53191953809
ITAIPU,dia,3,3,4,4,,97397.21639670932
ITAIPU,dia,3,3,4,5,,97406.54297134519
ITAIPU,dia,3,3,5,1,,97379.14877045427
ITAIPU,dia,3,3,5,2,,97383.23646929895
ITAIPU,dia,3,3,5,3,,97395.1608917311
ITAIPU,dia,3,3,5,4,,97398.92626829204
ITAIPU,dia,3,3,5,5,,97408.05599118717
ITAIPU,dia,3,4,1,1,,97339.38287435361
ITAIPU,dia,3,4,1,2,,97345.22057921907
ITAIPU,dia,3,4,1,3,,97358.56211146043
ITAIPU,dia,3,4,1,4,,97362.3785196802
ITAIPU,dia,3,4,1,5,,97369.7587254177
ITAIPU,dia,3,4,2,1,,97338.91440518168
ITAIPU,dia,3,4,2,2,,97344.56981589334
ITAIPU,dia,3,4,2,3,,97357.6766960001
ITAIPU,dia,3,4,2,4,,97361.99984558742
ITAIPU,dia,3,4,2,5,,97368.18326223778
ITAIPU,dia,3,4,3,1,,97334.86267730266
ITAIPU,dia,3,4,3,2,,97340.81885254137
ITAIPU,dia,3,4,3,3,,97353.79126404281
ITAIPU,dia,3,4,3,4,,97358.10031965522
ITAIPU,dia,3,4,3,5,,97364.32408966121
ITAIPU,dia,3,4,4,1,,97338.71619287241
ITAIPU,dia,3,4,4,2,,97344.6883342101
ITAIPU,dia,3,4,4,3,,97357.6657745585
ITAIPU,dia,3,4,4,4,,97361.96589377336
ITAIPU,dia,3,4,4,5,,97368.16784683324
ITAIPU,dia,3,4,5,1,,97339.95369500954
ITAIPU,dia,3,4,5,2,,97345.94597172893
ITAIPU,dia,3,4,5,3,,97359.03971270418
ITAIPU,dia,3,4,5,4,,97363.40249667996
ITAIPU,dia,3,4,5,5,,97369.42050132334
ITAIPU,dia,3,5,1,1,,97332.8142515893
ITAIPU,dia,3,5,1,2,,97338.45862077316
ITAIPU,dia,3,5,1,3,,97351.94396122888
ITAIPU,dia,3,5,1,4,,97355.79048825003
ITAIPU,dia,3,5,1,5,,97363.9918300589
ITAIPU,dia,3,5,2,1,,97332.42028432319
ITAIPU,dia,3,5,2,2,,97337.88847927714
ITAIPU,dia,3,5,2,3,,97351.14116190419
ITAIPU,dia,3,5,2,4,,97355.50926078865
ITAIPU,dia,3,5,2,5,,97362.48284537745
ITAIPU,dia,3,5,3,1,,97328.32021429508
ITAIPU,dia,3,5,3,2,,97334.07594739892
ITAIPU,dia,3,5,3,3,,97347.2199768122
ITAIPU,dia,3,5,3,4,,97351.57904464641
ITAIPU,dia,3,5,3,5,,97358.60353402913
ITAIPU,dia,3,5,4,1,,97332.16383998787
ITAIPU,dia,3,5,4,2,,97337.93382661734
ITAIPU,dia,3,5,4,3,,97351.08110590334
ITAIPU,dia,3,5,4,4,,97355.43327724856
ITAIPU,dia,3,5,4,5,,97362.43060404676
ITAIPU,dia,3,5,5,1,,97333.25995011366
ITAIPU,dia,3,5,5,2,,97339.0457121837
ITAIPU,dia,3,5,5,3,,97352.31711947685
ITAIPU,dia,3,5,5,4,,97356.73156805463
ITAIPU,dia,3,5,5,5,,97363.56135327576
ITAIPU,dia,4,1,1,1,,117783.8166836128
ITAIPU,dia,4,1,1,2,,117787.8166836128
ITAIPU,dia,4,1,1,3,,117791.8166836128
ITAIPU,dia,4,1,1,4,,117795.8166836128
ITAIPU,dia,4,1,1,5,,117799.8166836128
ITAIPU,dia,4,1,2,1,,117776.140044379
ITAIPU,dia,4,1,2,2,,117780.14004437902
ITAIPU,dia,4,1,2,3,,117784.14004437902
ITAIPU,dia,4,1,2,4,,117788.14004437902
ITAIPU,dia,4,1,2,5,,117792.14004437902
ITAIPU,dia,4,1,3,1,,117781.85042928507
ITAIPU,dia,4,1,3,2,,117785.85042928507
ITAIPU,dia,4,1,3,3,,117789.85042928508
ITAIPU,dia,4,1,3,4,,117793.85042928508
ITAIPU,dia,4,1,3,5,,117797.85042928508
ITAIPU,dia,4,1,4,1,,117785.81599035549
ITAIPU,dia,4,1,4,2,,117789.8159903555
ITAIPU,dia,4,1,4,3,,117793.8159903555
ITAIPU,dia,4,1,4,4,,117797.8159903555
ITAIPU,dia,4,1,4,5,,117801.8159903555
ITAIPU,dia,4,1,5,1,,117788.81267614948
ITAIPU,dia,4,1,5,2,,117792.81267614948
ITAIPU,dia,4,1,5,3,,117796.8126761495
ITAIPU,dia,4,1,5,4,,117800.8126761495
ITAIPU,dia,4,1,5,5,,117804.8126761495
ITAIPU,dia,4,2,1,1,,111687.5064181167
ITAIPU,dia,4,2,1,2,,111691.5064181167
ITAIPU,dia,4,2,1,3,,111695.50641811671
ITAIPU,dia,4,2,1,4,,111699.50641811671
ITAIPU,dia,4,2,1,5,,111703.50641811671
ITAIPU,dia,4,2,2,1,,111709.41095069044
ITAIPU,dia,4,2,2,2,,111713.41095069044
ITAIPU,dia,4,2,2,3,,111717.41095069044
ITAIPU,dia,4,2,2,4,,111721.41095069044
ITAIPU,dia,4,2,2,5,,111725.41095069045
ITAIPU,dia,4,2,3,1,,111735.50577036501
ITAIPU,dia,4,2,3,2,,111739.50577036501
ITAIPU,dia,4,2,3,3,,111743.50577036501
ITAIPU,dia,4,2,3,4,,111747.50577036502
ITAIPU,dia,4,2,3,5,,111751.50577036502
ITAIPU,dia,4,2,4,1,,111737.29718146638
ITAIPU,dia,4,2,4,2,,111741.29718146638
ITAIPU,dia,4,2,4,3,,111745.29718146638
ITAIPU,dia,4,2,4,4,,111749.29718146639
ITAIPU,dia,4,2,4,5,,111753.29718146639
ITAIPU,dia,4,2,5,1,,111738.7901677642
ITAIPU,dia,4,2,5,2,,111742.7901677642
ITAIPU,dia,4,2,5,3,,111746.7901677642
ITAIPU,dia,4,2,5,4,,111750.7901677642
ITAIPU,dia,4,2,5,5,,111754.7901677642
ITAIPU,dia,4,3,1,1,,109535.98076945743
ITAIPU,dia,4,3,1,2,,109539.98076945743
ITAIPU,dia,4,3,1,3,,109543.98076945743
ITAIPU,dia,4,3,1,4,,109547.98076945743
ITAIPU,dia,4,3,1,5,,109551.98076945743
ITAIPU,dia,4,3,2,1,,109567.71913900718
ITAIPU,dia,4,3,2,2,,109571.71913900718
ITAIPU,dia,4,3,2,3,,109575.71913900718
ITAIPU,dia,4,3,2,4,,109579.71913900718
ITAIPU,dia,4,3,2,5,,109583.7191390072
ITAIPU,dia,4,3,3,1,,109605.87713681189
ITAIPU,dia,4,3,3,2,,109609.87713681189
ITAIPU,dia,4,3,3,3,,109613.87713681189
ITAIPU,dia,4,3,3,4,,109617.87713681189
ITAIPU,dia,4,3,3,5,,109621.8771368119
ITAIPU,dia,4,3,4,1,,109609.53142091628
ITAIPU,dia,4,3,4,2,,109613.53142091628
ITAIPU,dia,4,3,4,3,,109617.53142091628
ITAIPU,dia,4,3,4,4,,109621.53142091628
ITAIPU,dia,4,3,4,5,,109625.53142091628
ITAIPU,dia,4,3,5,1,,109618.49807469295
ITAIPU,dia,4,3,5,2,,109622.49807469295
ITAIPU,dia,4,3,5,3,,109626.49807469295
ITAIPU,dia,4,3,5,4,,109630.49807469295
ITAIPU,dia,4,3,5,5,,109634.49807469295
ITAIPU,dia,4,4,1,1,,108087.69950178963
ITAIPU,dia,4,4,1,2,,108091.69950178963
ITAIPU,dia,4,4,1,3,,108095.69950178963
ITAIPU,dia,4,4,1,4,,108099.69950178963
ITAIPU,dia,4,4,1,5,,108103.69950178961
ITAIPU,dia,4,4,2,1,,108127.9660649283
ITAIPU,dia,4,4,2,2,,108131.9660649283
ITAIPU,dia,4,4,2,3,,108135.96606492829
ITAIPU,dia,4,4,2,4,,108139.96606492829
ITAIPU,dia,4,4,2,5,,108143.96606492829
ITAIPU,dia,4,4,3,1,,108168.92561062427
ITAIPU,dia,4,4,3,2,,108172.92561062427
ITAIPU,dia,4,4,3,3,,108176.92561062427
ITAIPU,dia,4,4,3,4,,108180.92561062427
ITAIPU,dia,4,4,3,5,,108184.92561062425
ITAIPU,dia,4,4,4,1,,108171.62514399995
ITAIPU,dia,4,4,4,2,,108175.62514399995
ITAIPU,dia,4,4,4,3,,108179.62514399993
ITAIPU,dia,4,4,4,4,,108183.62514399995
ITAIPU,dia,4,4,4,5,,108187.62514399993
ITAIPU,dia,4,4,5,1,,108186.51487619156
ITAIPU,dia,4,4,5,2,,108190.51487619156
ITAIPU,dia,4,4,5,3,,108194.51487619156
ITAIPU,dia,4,4,5,4,,108198.51487619156
ITAIPU,dia,4,4,5,5,,108202.51487619155
ITAIPU,dia,4,5,1,1,,106814.97658533584
ITAIPU,dia,4,5,1,2,,106818.97658533584
ITAIPU,dia,4,5,1,3,,106822.97658533584
ITAIPU,dia,4,5,1,4,,106826.97658533584
ITAIPU,dia,4,5,1,5,,106830.97658533583
