posto,time_division,model_id,p,h,h_std,avg_cv_mse,total_aic
MACHADINHO,dia,4,4,2,5,,92404.55465098606
MACHADINHO,dia,4,4,3,1,,92389.93637495833
MACHADINHO,dia,4,4,3,2,,92393.93637495833
MACHADINHO,dia,4,4,3,3,,92397.93637495831
MACHADINHO,dia,4,4,3,4,,92401.93637495831
MACHADINHO,dia,4,4,3,5,,92405.93637495831
MACHADINHO,dia,4,4,4,1,,92381.70884343014
MACHADINHO,dia,4,4,4,2,,92385.70884343014
MACHADINHO,dia,4,4,4,3,,92389.70884343014
MACHADINHO,dia,4,4,4,4,,92393.70884343014
MACHADINHO,dia,4,4,4,5,,92397.70884343014
MACHADINHO,dia,4,4,5,1,,92355.93184226353
MACHADINHO,dia,4,4,5,2,,92359.93184226353
MACHADINHO,dia,4,4,5,3,,92363.93184226353
MACHADINHO,dia,4,4,5,4,,92367.93184226353
MACHADINHO,dia,4,4,5,5,,92371.93184226353
MACHADINHO,dia,4,5,1,1,,91719.73806334814
MACHADINHO,dia,4,5,1,2,,91723.73806334814
MACHADINHO,dia,4,5,1,3,,91727.73806334814
MACHADINHO,dia,4,5,1,4,,91731.73806334814
MACHADINHO,dia,4,5,1,5,,91735.73806334814
MACHADINHO,dia,4,5,2,1,,91718.36037798104
MACHADINHO,dia,4,5,2,2,,91722.36037798104
MACHADINHO,dia,4,5,2,3,,91726.36037798104
MACHADINHO,dia,4,5,2,4,,91730.36037798104
MACHADINHO,dia,4,5,2,5,,91734.36037798104
MACHADINHO,dia,4,5,3,1,,91709.36027014046
MACHADINHO,dia,4,5,3,2,,91713.36027014046
MACHADINHO,dia,4,5,3,3,,91717.36027014046
MACHADINHO,dia,4,5,3,4,,91721.36027014046
MACHADINHO,dia,4,5,3,5,,91725.36027014045
MACHADINHO,dia,4,5,4,1,,91704.19717243157
MACHADINHO,dia,4,5,4,2,,91708.19717243155
MACHADINHO,dia,4,5,4,3,,91712.19717243155
MACHADINHO,dia,4,5,4,4,,91716.19717243155
MACHADINHO,dia,4,5,4,5,,91720.19717243155
MACHADINHO,dia,4,5,5,1,,91692.97711965904
MACHADINHO,dia,4,5,5,2,,91696.97711965904
MACHADINHO,dia,4,5,5,3,,91700.97711965904
MACHADINHO,dia,4,5,5,4,,91704.97711965904
MACHADINHO,dia,4,5,5,5,,91708.97711965903
MACHADINHO,sem,1,1,1,0,,12148.260155382455
MACHADINHO,sem,1,1,2,0,,12147.354628880807
MACHADINHO,sem,1,1,3,0,,12142.85936598689
MACHADINHO,sem,1,1,4,0,,12144.370168812951
MACHADINHO,sem,1,1,5,0,,12146.917419217853
MACHADINHO,sem,1,2,1,0,,12146.15044920132
MACHADINHO,sem,1,2,2,0,,12145.556569398284
MACHADINHO,sem,1,2,3,0,,12141.255488870442
MACHADINHO,sem,1,2,4,0,,12142.712497661509
MACHADINHO,sem,1,2,5,0,,12145.188227339579
MACHADINHO,sem,1,3,1,0,,12132.832897289361
MACHADINHO,sem,1,3,2,0,,12132.441993216362
MACHADINHO,sem,1,3,3,0,,12127.579858435762
MACHADINHO,sem,1,3,4,0,,12128.598920585897
MACHADINHO,sem,1,3,5,0,,12130.705876340755
MACHADINHO,sem,1,4,1,0,,12128.42638616616
MACHADINHO,sem,1,4,2,0,,12127.868443164107
MACHADINHO,sem,1,4,3,0,,12122.032087886602
MACHADINHO,sem,1,4,4,0,,12122.549936568865
MACHADINHO,sem,1,4,5,0,,12124.317573220791
MACHADINHO,sem,1,5,1,0,,12129.458342587584
MACHADINHO,sem,1,5,2,0,,12128.683449815306
MACHADINHO,sem,1,5,3,0,,12122.735691898482
MACHADINHO,sem,1,5,4,0,,12123.074402232898
MACHADINHO,sem,1,5,5,0,,12124.72018262774
MACHADINHO,sem,2,1,1,0,,14554.51969758587
MACHADINHO,sem,2,1,2,0,,14556.441241161245
MACHADINHO,sem,2,1,3,0,,14550.212349485082
MACHADINHO,sem,2,1,4,0,,14553.248397058049
MACHADINHO,sem,2,1,5,0,,14554.704050244927
MACHADINHO,sem,2,2,1,0,,14466.97862021256
MACHADINHO,sem,2,2,2,0,,14468.800064909336
MACHADINHO,sem,2,2,3,0,,14458.3327879523
MACHADINHO,sem,2,2,4,0,,14463.255203969888
MACHADINHO,sem,2,2,5,0,,14462.955177853471
MACHADINHO,sem,2,3,1,0,,14366.252262045433
MACHADINHO,sem,2,3,2,0,,14365.679747073067
MACHADINHO,sem,2,3,3,0,,14356.556366601972
MACHADINHO,sem,2,3,4,0,,14360.38209477364
MACHADINHO,sem,2,3,5,0,,14357.91451833158
MACHADINHO,sem,2,4,1,0,,14317.129862968006
MACHADINHO,sem,2,4,2,0,,14318.590003059773
MACHADINHO,sem,2,4,3,0,,14307.238720538642
MACHADINHO,sem,2,4,4,0,,14311.719335182352
MACHADINHO,sem,2,4,5,0,,14309.276857975703
MACHADINHO,sem,2,5,1,0,,14227.466711104962
MACHADINHO,sem,2,5,2,0,,14229.03110210623
MACHADINHO,sem,2,5,3,0,,14218.94408948864
MACHADINHO,sem,2,5,4,0,,14222.368559311375
MACHADINHO,sem,2,5,5,0,,14219.374145053698
MACHADINHO,sem,3,1,1,1,,12153.854794845874
MACHADINHO,sem,3,1,1,2,,12160.595656691075
MACHADINHO,sem,3,1,1,3,,12164.08974676586
MACHADINHO,sem,3,1,1,4,,12167.4546976809
MACHADINHO,sem,3,1,1,5,,12172.223999563324
MACHADINHO,sem,3,1,2,1,,12153.192906696886
MACHADINHO,sem,3,1,2,2,,12159.938684399775
MACHADINHO,sem,3,1,2,3,,12162.243547391736
MACHADINHO,sem,3,1,2,4,,12165.62218863209
MACHADINHO,sem,3,1,2,5,,12170.158629147307
MACHADINHO,sem,3,1,3,1,,12148.449565867093
MACHADINHO,sem,3,1,3,2,,12155.100273583212
MACHADINHO,sem,3,1,3,3,,12157.004029979264
MACHADINHO,sem,3,1,3,4,,12160.404203993652
MACHADINHO,sem,3,1,3,5,,12164.919487765377
MACHADINHO,sem,3,1,4,1,,12149.932117563108
MACHADINHO,sem,3,1,4,2,,12156.577855478195
MACHADINHO,sem,3,1,4,3,,12158.531038490026
MACHADINHO,sem,3,1,4,4,,12161.927007852639
MACHADINHO,sem,3,1,4,5,,12166.434050341233
MACHADINHO,sem,3,1,5,1,,12152.483369068697
MACHADINHO,sem,3,1,5,2,,12159.125471965186
MACHADINHO,sem,3,1,5,3,,12161.084849273517
MACHADINHO,sem,3,1,5,4,,12164.479685302833
MACHADINHO,sem,3,1,5,5,,12168.993830551004
MACHADINHO,sem,3,2,1,1,,12154.7373330766
MACHADINHO,sem,3,2,1,2,,12162.133582638056
MACHADINHO,sem,3,2,1,3,,12165.134511309923
MACHADINHO,sem,3,2,1,4,,12168.69164664704
MACHADINHO,sem,3,2,1,5,,12173.665142614358
MACHADINHO,sem,3,2,2,1,,12154.450263210441
MACHADINHO,sem,3,2,2,2,,12161.991710226032
MACHADINHO,sem,3,2,2,3,,12163.86828317626
MACHADINHO,sem,3,2,2,4,,12167.440456410093
MACHADINHO,sem,3,2,2,5,,12172.161198411817
MACHADINHO,sem,3,2,3,1,,12149.921188793656
MACHADINHO,sem,3,2,3,2,,12157.389020955732
MACHADINHO,sem,3,2,3,3,,12159.035388013564
MACHADINHO,sem,3,2,3,4,,12162.625361426117
MACHADINHO,sem,3,2,3,5,,12167.320365476171
MACHADINHO,sem,3,2,4,1,,12151.35705854546
MACHADINHO,sem,3,2,4,2,,12158.790193370955
MACHADINHO,sem,3,2,4,3,,12160.49172917808
MACHADINHO,sem,3,2,4,4,,12164.072407890311
MACHADINHO,sem,3,2,4,5,,12168.777630946226
MACHADINHO,sem,3,2,5,1,,12153.862768471012
MACHADINHO,sem,3,2,5,2,,12161.363852380913
MACHADINHO,sem,3,2,5,3,,12162.974274120734
MACHADINHO,sem,3,2,5,4,,12166.561424250163
MACHADINHO,sem,3,2,5,5,,12171.250154457373
MACHADINHO,sem,3,3,1,1,,12139.481961171525
MACHADINHO,sem,3,3,1,2,,12146.865067489674
MACHADINHO,sem,3,3,1,3,,12147.227297072233
MACHADINHO,sem,3,3,1,4,,12150.625592328714
MACHADINHO,sem,3,3,1,5,,12155.475140877654
MACHADINHO,sem,3,3,2,1,,12139.372918466463
MACHADINHO,sem,3,3,2,2,,12146.813174003371
MACHADINHO,sem,3,3,2,3,,12146.008594913008
MACHADINHO,sem,3,3,2,4,,12149.418828636972
MACHADINHO,sem,3,3,2,5,,12153.951759260146
MACHADINHO,sem,3,3,3,1,,12134.285835883753
MACHADINHO,sem,3,3,3,2,,12141.50688984865
MACHADINHO,sem,3,3,3,3,,12140.21011602109
MACHADINHO,sem,3,3,3,4,,12143.649564570029
MACHADINHO,sem,3,3,3,5,,12148.130222738722
MACHADINHO,sem,3,3,4,1,,12135.296713737784
MACHADINHO,sem,3,3,4,2,,12142.520265463398
MACHADINHO,sem,3,3,4,3,,12141.243951172019
MACHADINHO,sem,3,3,4,4,,12144.672229906617
MACHADINHO,sem,3,3,4,5,,12149.169272144343
MACHADINHO,sem,3,3,5,1,,12137.378475266742
MACHADINHO,sem,3,3,5,2,,12144.597709372247
MACHADINHO,sem,3,3,5,3,,12143.19926356804
MACHADINHO,sem,3,3,5,4,,12146.635655871823
MACHADINHO,sem,3,3,5,5,,12151.1091492731
MACHADINHO,sem,3,4,1,1,,12134.55363855219
MACHADINHO,sem,3,4,1,2,,12142.424533559368
MACHADINHO,sem,3,4,1,3,,12143.2509422253
MACHADINHO,sem,3,4,1,4,,12146.651123906891
MACHADINHO,sem,3,4,1,5,,12151.507216189382
MACHADINHO,sem,3,4,2,1,,12134.27319598626
MACHADINHO,sem,3,4,2,2,,12142.109347407972
MACHADINHO,sem,3,4,2,3,,12141.65556190354
MACHADINHO,sem,3,4,2,4,,12145.065282142557
MACHADINHO,sem,3,4,2,5,,12149.529973908013
MACHADINHO,sem,3,4,3,1,,12128.264153246302
MACHADINHO,sem,3,4,3,2,,12135.695136184202
MACHADINHO,sem,3,4,3,3,,12134.507540383236
MACHADINHO,sem,3,4,3,4,,12137.959011737885
MACHADINHO,sem,3,4,3,5,,12142.345611569728
MACHADINHO,sem,3,4,4,1,,12128.808579797791
MACHADINHO,sem,3,4,4,2,,12136.30106171753
MACHADINHO,sem,3,4,4,3,,12135.106765973984
MACHADINHO,sem,3,4,4,4,,12138.544968248108
MACHADINHO,sem,3,4,4,5,,12142.94872758197
MACHADINHO,sem,3,4,5,1,,12130.519354236281
MACHADINHO,sem,3,4,5,2,,12137.942796494634
MACHADINHO,sem,3,4,5,3,,12136.616121677247
MACHADINHO,sem,3,4,5,4,,12140.067163961021
MACHADINHO,sem,3,4,5,5,,12144.439790585568
MACHADINHO,sem,3,5,1,1,,12135.900604311375
MACHADINHO,sem,3,5,1,2,,12143.460335188154
MACHADINHO,sem,3,5,1,3,,12144.858688815095
MACHADINHO,sem,3,5,1,4,,12148.296231744001
MACHADINHO,sem,3,5,1,5,,12153.283286754442
MACHADINHO,sem,3,5,2,1,,12135.338275459399
MACHADINHO,sem,3,5,2,2,,12142.753840240717
MACHADINHO,sem,3,5,2,3,,12142.865709652957
MACHADINHO,sem,3,5,2,4,,12146.314567519054
MACHADINHO,sem,3,5,2,5,,12150.907016633539
MACHADINHO,sem,3,5,3,1,,12129.373555862116
MACHADINHO,sem,3,5,3,2,,12136.204559387823
MACHADINHO,sem,3,5,3,3,,12135.647943857768
MACHADINHO,sem,3,5,3,4,,12139.162454510166
MACHADINHO,sem,3,5,3,5,,12143.722866074808
MACHADINHO,sem,3,5,4,1,,12129.78861278388
MACHADINHO,sem,3,5,4,2,,12136.689091227752
MACHADINHO,sem,3,5,4,3,,12136.10618030131
MACHADINHO,sem,3,5,4,4,,12139.614763627822
MACHADINHO,sem,3,5,4,5,,12144.197205150964
MACHADINHO,sem,3,5,5,1,,12131.389326976825
MACHADINHO,sem,3,5,5,2,,12138.15290774133
MACHADINHO,sem,3,5,5,3,,12137.492427689605
MACHADINHO,sem,3,5,5,4,,12141.016045513668
MACHADINHO,sem,3,5,5,5,,12145.576858125454
MACHADINHO,sem,4,1,1,1,,14559.519296730698
MACHADINHO,sem,4,1,1,2,,14563.519296730698
MACHADINHO,sem,4,1,1,3,,14567.519296730698
MACHADINHO,sem,4,1,1,4,,14571.519296730698
MACHADINHO,sem,4,1,1,5,,14575.519296730698
MACHADINHO,sem,4,1,2,1,,14561.440840306072
MACHADINHO,sem,4,1,2,2,,14565.440840306072
MACHADINHO,sem,4,1,2,3,,14569.440840306072
MACHADINHO,sem,4,1,2,4,,14573.440840306072
MACHADINHO,sem,4,1,2,5,,14577.440840306072
MACHADINHO,sem,4,1,3,1,,14555.211948629909
MACHADINHO,sem,4,1,3,2,,14559.21194862991
MACHADINHO,sem,4,1,3,3,,14563.211948629909
MACHADINHO,sem,4,1,3,4,,14567.211948629909
MACHADINHO,sem,4,1,3,5,,14571.211948629909
MACHADINHO,sem,4,1,4,1,,14558.247996202877
MACHADINHO,sem,4,1,4,2,,14562.247996202877
MACHADINHO,sem,4,1,4,3,,14566.247996202876
MACHADINHO,sem,4,1,4,4,,14570.247996202876
MACHADINHO,sem,4,1,4,5,,14574.247996202877
MACHADINHO,sem,4,1,5,1,,14559.703649389756
MACHADINHO,sem,4,1,5,2,,14563.703649389756
MACHADINHO,sem,4,1,5,3,,14567.703649389754
MACHADINHO,sem,4,1,5,4,,14571.703649389756
MACHADINHO,sem,4,1,5,5,,14575.703649389754
MACHADINHO,sem,4,2,1,1,,14470.977015934253
MACHADINHO,sem,4,2,1,2,,14474.977015934253
MACHADINHO,sem,4,2,1,3,,14478.977015934253
MACHADINHO,sem,4,2,1,4,,14482.977015934253
MACHADINHO,sem,4,2,1,5,,14486.977015934253
MACHADINHO,sem,4,2,2,1,,14472.79846063103
MACHADINHO,sem,4,2,2,2,,14476.79846063103
MACHADINHO,sem,4,2,2,3,,14480.79846063103
MACHADINHO,sem,4,2,2,4,,14484.79846063103
MACHADINHO,sem,4,2,2,5,,14488.79846063103
MACHADINHO,sem,4,2,3,1,,14462.331183673996
MACHADINHO,sem,4,2,3,2,,14466.331183673996
MACHADINHO,sem,4,2,3,3,,14470.331183673996
MACHADINHO,sem,4,2,3,4,,14474.331183673996
MACHADINHO,sem,4,2,3,5,,14478.331183673996
MACHADINHO,sem,4,2,4,1,,14467.253599691585
MACHADINHO,sem,4,2,4,2,,14471.253599691585
MACHADINHO,sem,4,2,4,3,,14475.253599691585
MACHADINHO,sem,4,2,4,4,,14479.253599691585
MACHADINHO,sem,4,2,4,5,,14483.253599691585
MACHADINHO,sem,4,2,5,1,,14466.953573575167
MACHADINHO,sem,4,2,5,2,,14470.953573575167
MACHADINHO,sem,4,2,5,3,,14474.953573575167
MACHADINHO,sem,4,2,5,4,,14478.953573575167
MACHADINHO,sem,4,2,5,5,,14482.953573575167
MACHADINHO,sem,4,3,1,1,,14369.248650487289
MACHADINHO,sem,4,3,1,2,,14373.248650487289
MACHADINHO,sem,4,3,1,3,,14377.248650487285
MACHADINHO,sem,4,3,1,4,,14381.248650487289
MACHADINHO,sem,4,3,1,5,,14385.248650487285
MACHADINHO,sem,4,3,2,1,,14368.676135514921
MACHADINHO,sem,4,3,2,2,,14372.676135514921
MACHADINHO,sem,4,3,2,3,,14376.676135514921
MACHADINHO,sem,4,3,2,4,,14380.676135514921
MACHADINHO,sem,4,3,2,5,,14384.676135514921
MACHADINHO,sem,4,3,3,1,,14359.552755043826
MACHADINHO,sem,4,3,3,2,,14363.552755043826
MACHADINHO,sem,4,3,3,3,,14367.552755043826
MACHADINHO,sem,4,3,3,4,,14371.552755043826
MACHADINHO,sem,4,3,3,5,,14375.552755043826
MACHADINHO,sem,4,3,4,1,,14363.378483215494
MACHADINHO,sem,4,3,4,2,,14367.378483215494
MACHADINHO,sem,4,3,4,3,,14371.378483215494
MACHADINHO,sem,4,3,4,4,,14375.378483215494
MACHADINHO,sem,4,3,4,5,,14379.378483215494
MACHADINHO,sem,4,3,5,1,,14360.910906773433
MACHADINHO,sem,4,3,5,2,,14364.910906773433
MACHADINHO,sem,4,3,5,3,,14368.910906773433
MACHADINHO,sem,4,3,5,4,,14372.910906773433
MACHADINHO,sem,4,3,5,5,,14376.910906773433
MACHADINHO,sem,4,4,1,1,,14319.123438981456
MACHADINHO,sem,4,4,1,2,,14323.123438981456
MACHADINHO,sem,4,4,1,3,,14327.123438981453
MACHADINHO,sem,4,4,1,4,,14331.123438981453
MACHADINHO,sem,4,4,1,5,,14335.123438981453
MACHADINHO,sem,4,4,2,1,,14320.583579073222
MACHADINHO,sem,4,4,2,2,,14324.583579073222
MACHADINHO,sem,4,4,2,3,,14328.583579073222
MACHADINHO,sem,4,4,2,4,,14332.583579073222
MACHADINHO,sem,4,4,2,5,,14336.583579073222
MACHADINHO,sem,4,4,3,1,,14309.232296552093
MACHADINHO,sem,4,4,3,2,,14313.232296552093
MACHADINHO,sem,4,4,3,3,,14317.232296552093
MACHADINHO,sem,4,4,3,4,,14321.232296552093
MACHADINHO,sem,4,4,3,5,,14325.232296552093
MACHADINHO,sem,4,4,4,1,,14313.712911195802
MACHADINHO,sem,4,4,4,2,,14317.7129111958
MACHADINHO,sem,4,4,4,3,,14321.7129111958
MACHADINHO,sem,4,4,4,4,,14325.7129111958
MACHADINHO,sem,4,4,4,5,,14329.7129111958
MACHADINHO,sem,4,4,5,1,,14311.270433989153
MACHADINHO,sem,4,4,5,2,,14315.270433989153
MACHADINHO,sem,4,4,5,3,,14319.270433989153
MACHADINHO,sem,4,4,5,4,,14323.270433989153
MACHADINHO,sem,4,4,5,5,,14327.270433989153
MACHADINHO,sem,4,5,1,1,,14228.456668246472
MACHADINHO,sem,4,5,1,2,,14232.456668246472
MACHADINHO,sem,4,5,1,3,,14236.456668246472
MACHADINHO,sem,4,5,1,4,,14240.456668246472
MACHADINHO,sem,4,5,1,5,,14244.456668246472
MACHADINHO,sem,4,5,2,1,,14230.021059247742
MACHADINHO,sem,4,5,2,2,,14234.021059247742
MACHADINHO,sem,4,5,2,3,,14238.02105924774
MACHADINHO,sem,4,5,2,4,,14242.02105924774
MACHADINHO,sem,4,5,2,5,,14246.021059247742
MACHADINHO,sem,4,5,3,1,,14219.934046630147
MACHADINHO,sem,4,5,3,2,,14223.934046630147
MACHADINHO,sem,4,5,3,3,,14227.934046630147
MACHADINHO,sem,4,5,3,4,,14231.934046630147
MACHADINHO,sem,4,5,3,5,,14235.934046630147
MACHADINHO,sem,4,5,4,1,,14223.358516452887
MACHADINHO,sem,4,5,4,2,,14227.358516452887
MACHADINHO,sem,4,5,4,3,,14231.358516452883
MACHADINHO,sem,4,5,4,4,,14235.358516452883
MACHADINHO,sem,4,5,4,5,,14239.358516452883
MACHADINHO,sem,4,5,5,1,,14220.364102195206
MACHADINHO,sem,4,5,5,2,,14224.364102195206
MACHADINHO,sem,4,5,5,3,,14228.364102195206
MACHADINHO,sem,4,5,5,4,,14232.364102195206
MACHADINHO,sem,4,5,5,5,,14236.364102195206
MACHADINHO,mes,1,1,1,0,,2617.4834575789846
MACHADINHO,mes,1,1,2,0,,2614.7700513214163
MACHADINHO,mes,1,1,3,0,,2605.9749378930032
MACHADINHO,mes,1,1,4,0,,2606.474344565394
MACHADINHO,mes,1,1,5,0,,2607.6193149991973
MACHADINHO,mes,1,2,1,0,,2617.9556870882884
MACHADINHO,mes,1,2,2,0,,2614.6298520978257
MACHADINHO,mes,1,2,3,0,,2606.082222356007
MACHADINHO,mes,1,2,4,0,,2606.373055102838
MACHADINHO,mes,1,2,5,0,,2607.635762609032
MACHADINHO,mes,1,3,1,0,,2619.6123336217106
MACHADINHO,mes,1,3,2,0,,2616.3318124536536
MACHADINHO,mes,1,3,3,0,,2607.757657667696
MACHADINHO,mes,1,3,4,0,,2607.9426914907967
MACHADINHO,mes,1,3,5,0,,2609.1630835391334
MACHADINHO,mes,1,4,1,0,,2620.924960706974
MACHADINHO,mes,1,4,2,0,,2617.925643398334
MACHADINHO,mes,1,4,3,0,,2609.6257660092338
MACHADINHO,mes,1,4,4,0,,2609.7938693299457
MACHADINHO,mes,1,4,5,0,,2610.9081934190326
MACHADINHO,mes,1,5,1,0,,2620.4851232728593
MACHADINHO,mes,1,5,2,0,,2618.6213579159453
MACHADINHO,mes,1,5,3,0,,2608.80475869889
MACHADINHO,mes,1,5,4,0,,2608.8783075832184
MACHADINHO,mes,1,5,5,0,,2610.4774885829033
MACHADINHO,mes,2,1,1,0,,3157.219806995092
MACHADINHO,mes,2,1,2,0,,3153.7351527899336
MACHADINHO,mes,2,1,3,0,,3139.577594840787
MACHADINHO,mes,2,1,4,0,,3140.932611994962
MACHADINHO,mes,2,1,5,0,,3140.7039664829836
MACHADINHO,mes,2,2,1,0,,3137.4780187434185
MACHADINHO,mes,2,2,2,0,,3137.661464040588
MACHADINHO,mes,2,2,3,0,,3127.892828890965
MACHADINHO,mes,2,2,4,0,,3129.3963379387947
MACHADINHO,mes,2,2,5,0,,3129.0929042699213
MACHADINHO,mes,2,3,1,0,,3119.9269528001564
MACHADINHO,mes,2,3,2,0,,3122.204035629027
MACHADINHO,mes,2,3,3,0,,3108.095166406384
MACHADINHO,mes,2,3,4,0,,3110.159965584331
MACHADINHO,mes,2,3,5,0,,3109.6921587495785
MACHADINHO,mes,2,4,1,0,,3107.6776599280192
MACHADINHO,mes,2,4,2,0,,3109.087515883608
MACHADINHO,mes,2,4,3,0,,3099.4075900541466
MACHADINHO,mes,2,4,4,0,,3100.1458593998877
MACHADINHO,mes,2,4,5,0,,3099.5050343897165
MACHADINHO,mes,2,5,1,0,,3095.2553348712204
MACHADINHO,mes,2,5,2,0,,3102.0705583091158
MACHADINHO,mes,2,5,3,0,,3089.9263214503403
MACHADINHO,mes,2,5,4,0,,3088.4848806956657
MACHADINHO,mes,2,5,5,0,,3089.265989378974
MACHADINHO,mes,3,1,1,1,,2621.343655235074
MACHADINHO,mes,3,1,1,2,,2619.739561849399
MACHADINHO,mes,3,1,1,3,,2614.0227458226877
MACHADINHO,mes,3,1,1,4,,2617.2123627563838
MACHADINHO,mes,3,1,1,5,,2620.69560125564
MACHADINHO,mes,3,1,2,1,,2618.6849281152677
MACHADINHO,mes,3,1,2,2,,2615.9522621045226
MACHADINHO,mes,3,1,2,3,,2607.813402143682
MACHADINHO,mes,3,1,2,4,,2611.1323886751675
MACHADINHO,mes,3,1,2,5,,2615.032993899599
MACHADINHO,mes,3,1,3,1,,2610.089167549783
MACHADINHO,mes,3,1,3,2,,2605.5671422271917
MACHADINHO,mes,3,1,3,3,,2595.7901571291295
MACHADINHO,mes,3,1,3,4,,2598.705062754462
MACHADINHO,mes,3,1,3,5,,2602.4819247613386
MACHADINHO,mes,3,1,4,1,,2610.7301565331964
MACHADINHO,mes,3,1,4,2,,2606.082211740639
MACHADINHO,mes,3,1,4,3,,2596.2932896947245
MACHADINHO,mes,3,1,4,4,,2599.1406206116285
MACHADINHO,mes,3,1,4,5,,2602.898524636169
MACHADINHO,mes,3,1,5,1,,2611.825041467188
MACHADINHO,mes,3,1,5,2,,2606.765119041745
MACHADINHO,mes,3,1,5,3,,2596.6085094446985
MACHADINHO,mes,3,1,5,4,,2599.394976916393
MACHADINHO,mes,3,1,5,5,,2603.154158379084
MACHADINHO,mes,3,2,1,1,,2622.077858984551
MACHADINHO,mes,3,2,1,2,,2620.5362671736048
MACHADINHO,mes,3,2,1,3,,2615.0129745880004
MACHADINHO,mes,3,2,1,4,,2618.348659062968
MACHADINHO,mes,3,2,1,5,,2621.8122220124765
MACHADINHO,mes,3,2,2,1,,2618.760623103328
MACHADINHO,mes,3,2,2,2,,2615.608513689433
MACHADINHO,mes,3,2,2,3,,2608.135020218117
MACHADINHO,mes,3,2,2,4,,2611.324508198359
MACHADINHO,mes,3,2,2,5,,2615.1438201726305
MACHADINHO,mes,3,2,3,1,,2610.6491545989898
MACHADINHO,mes,3,2,3,2,,2605.4659910926816
MACHADINHO,mes,3,2,3,3,,2596.3800233201414
MACHADINHO,mes,3,2,3,4,,2599.0006368968143
MACHADINHO,mes,3,2,3,5,,2602.691343672408
MACHADINHO,mes,3,2,4,1,,2611.051075751464
MACHADINHO,mes,3,2,4,2,,2605.723580800047
MACHADINHO,mes,3,2,4,3,,2596.503171499962
MACHADINHO,mes,3,2,4,4,,2599.06477427999
MACHADINHO,mes,3,2,4,5,,2602.742890454245
MACHADINHO,mes,3,2,5,1,,2612.2402427007064
MACHADINHO,mes,3,2,5,2,,2606.628212369261
MACHADINHO,mes,3,2,5,3,,2597.042527756214
MACHADINHO,mes,3,2,5,4,,2599.6180654500336
MACHADINHO,mes,3,2,5,5,,2603.311395758752
MACHADINHO,mes,3,3,1,1,,2623.6724778677562
MACHADINHO,mes,3,3,1,2,,2621.661619075684
MACHADINHO,mes,3,3,1,3,,2616.147899194164
MACHADINHO,mes,3,3,1,4,,2619.653884729456
MACHADINHO,mes,3,3,1,5,,2623.119479728726
MACHADINHO,mes,3,3,2,1,,2620.5360075104154
MACHADINHO,mes,3,3,2,2,,2616.862816363078
MACHADINHO,mes,3,3,2,3,,2609.3606070908154
MACHADINHO,mes,3,3,2,4,,2612.8243881113435
MACHADINHO,mes,3,3,2,5,,2616.655094827993
MACHADINHO,mes,3,3,3,1,,2612.2282872669452
MACHADINHO,mes,3,3,3,2,,2606.8257796279786
MACHADINHO,mes,3,3,3,3,,2598.0263085508313
MACHADINHO,mes,3,3,3,4,,2600.699498047923
MACHADINHO,mes,3,3,3,5,,2604.4034987449563
MACHADINHO,mes,3,3,4,1,,2612.4970322063205
MACHADINHO,mes,3,3,4,2,,2606.965289628187
MACHADINHO,mes,3,3,4,3,,2598.0004141229265
MACHADINHO,mes,3,3,4,4,,2600.565476202657
MACHADINHO,mes,3,3,4,5,,2604.2626490687035
MACHADINHO,mes,3,3,5,1,,2613.6404222187616
MACHADINHO,mes,3,3,5,2,,2607.789170725393
MACHADINHO,mes,3,3,5,3,,2598.5143832516433
MACHADINHO,mes,3,3,5,4,,2601.0962006622285
MACHADINHO,mes,3,3,5,5,,2604.7974619552156
MACHADINHO,mes,3,4,1,1,,2625.09322771997
MACHADINHO,mes,3,4,1,2,,2623.4387883659683
MACHADINHO,mes,3,4,1,3,,2617.5516990456485
MACHADINHO,mes,3,4,1,4,,2621.1999659712587
MACHADINHO,mes,3,4,1,5,,2624.7933709581525
MACHADINHO,mes,3,4,2,1,,2622.2332364782187
MACHADINHO,mes,3,4,2,2,,2619.1934477912714
MACHADINHO,mes,3,4,2,3,,2611.4457980076804
MACHADINHO,mes,3,4,2,4,,2615.044346842024
MACHADINHO,mes,3,4,2,5,,2618.9718868145296
MACHADINHO,mes,3,4,3,1,,2614.1326830550242
MACHADINHO,mes,3,4,3,2,,2608.9675607100976
MACHADINHO,mes,3,4,3,3,,2600.007643516207
MACHADINHO,mes,3,4,3,4,,2602.741261775259
MACHADINHO,mes,3,4,3,5,,2606.4619449279803
MACHADINHO,mes,3,4,4,1,,2614.459497017133
MACHADINHO,mes,3,4,4,2,,2609.1973657348904
MACHADINHO,mes,3,4,4,3,,2599.999342445346
MACHADINHO,mes,3,4,4,4,,2602.657753110089
MACHADINHO,mes,3,4,4,5,,2606.393546962565
MACHADINHO,mes,3,4,5,1,,2615.521811599874
MACHADINHO,mes,3,4,5,2,,2610.0343312838463
MACHADINHO,mes,3,4,5,3,,2600.4355779557864
MACHADINHO,mes,3,4,5,4,,2603.1249610703358
MACHADINHO,mes,3,4,5,5,,2606.8783621440957
MACHADINHO,mes,3,5,1,1,,2623.3854559377423
MACHADINHO,mes,3,5,1,2,,2620.376629168241
MACHADINHO,mes,3,5,1,3,,2615.585350209749
MACHADINHO,mes,3,5,1,4,,2619.9046070650606
