id_subsistema;nom_subsistema;tip_reservatorio;nom_bacia;nom_reservatorio;din_instante;id_reservatorio;nom_ree;num_ordemcs;cod_usina;val_nivelmontante;val_niveljusante;val_volumeutilcon;val_vazaoafluente;val_vazaoturbinada;val_vazaovertida;val_vazaooutrasestruturas;val_vazaodefluente;val_vazaotransferida;val_vazaonatural;val_vazaoartificial;val_vazaoincremental;val_vazaoevaporacaoliquida;val_vazaousoconsuntivo;val_vazaoincrementalbruta
N;Norte;Reservatório com Usina;TOCANTINS;TUCURUI;2001-01-01;TOTUCU;;212.0;275.0;71.606;9.824777777777777;97.80344444444444;16428.26822222222;6122.366666666667;9349.6;;15471.966666666667;;16445.314444444444;;11651.401714410555;;;
N;Norte;Reservatório com Usina;TOCANTINS;TUCURUI;2001-04-01;TOTUCU;;212.0;275.0;72.75322222222222;8.891444444444444;105.63044444444444;12725.315333333334;6369.866666666667;6343.1;;12712.966666666667;;12330.287555555555;;8938.067898221445;;;
N;Norte;Reservatório com Usina;TOCANTINS;TUCURUI;2001-06-30;TOTUCU;;212.0;275.0;70.22255555555556;5.752888888888889;87.92622222222222;3259.761;4866.2;0.0;;4866.2;;2609.302777777778;;1217.724896918;;;
N;Norte;Reservatório com Usina;TOCANTINS;TUCURUI;2001-09-28;TOTUCU;;212.0;275.0;62.40866666666666;6.093333333333333;41.489222222222224;5226.475;5666.444444444444;0.0;;5666.444444444444;;5043.684555555556;;2418.6330023874443;;;
N;Norte;Reservatório com Usina;TOCANTINS;TUCURUI;2002-01-01;TOTUCU;;212.0;275.0;72.27766666666666;;87.64;24665.778111111107;;16486.11111111111;;22402.055555555555;;26376.475222222223;;17211.663910592444;7.3376777777777775;17.156155555555557;
N;Norte;Reservatório com Usina;TOCANTINS;TUCURUI;2002-04-01;TOTUCU;;212.0;275.0;73.55011111111111;;96.58633333333334;12537.535777777777;;6826.377777777778;;12477.666666666666;;12712.345111111112;;9289.779656305222;-9.49298888888889;41.27722666666667;
N;Norte;Reservatório com Usina;TOCANTINS;TUCURUI;2002-06-30;TOTUCU;;212.0;275.0;68.70122222222221;424.0;65.163;2419.012888888889;;0.0;;5573.2444444444445;;2283.059777777778;;1055.7154459632222;-9.3335;49.56014285714286;
N;Norte;Reservatório com Usina;TOCANTINS;TUCURUI;2002-09-28;TOTUCU;;212.0;275.0;56.73722222222223;353.5;12.423666666666668;3497.890111111111;;0.0;;4710.822222222222;;2950.496;;1415.0179904516667;;;
N;Norte;Reservatório com Usina;TOCANTINS;TUCURUI;2003-01-01;TOTUCU;;212.0;275.0;67.50077777777777;429.3333333333333;61.86888888888889;15605.28522222222;;5635.133333333333;;11249.41111111111;;16273.981444444446;;10677.824655491668;6.1908076923076925;16.296403846153847;
N;Norte;Reservatório com Usina;TOCANTINS;TUCURUI;2003-04-01;TOTUCU;;212.0;275.0;73.81444444444445;;98.57955555555556;14574.904333333332;;8189.066666666667;;14559.777777777777;;14831.722444444446;;10545.245906576667;;;
